t,ax,ay,az,gx,gy,gz
1.8264505863189697,0.04,0.186,0.4539,0.6005,-1.0959,-3.617
1.8264505863189697,0.0531,0.2457,0.5672,0.9404,-1.8545,-2.7653
1.8264505863189697,0.0619,0.2902,0.6523,1.2128,-2.3883,-2.1615
1.8264505863189697,0.0682,0.3226,0.7151,1.4871,-2.8588,-1.7786
1.8264505863189697,0.075,0.3481,0.7639,1.6578,-3.1591,-1.4389
1.8264505863189697,0.0782,0.3658,0.8018,2.1709,-3.2618,-1.2367
1.8264505863189697,0.0904,0.4329,0.8078,-2.6419,-5.0013,-1.47
1.8264505863189697,0.0373,0.3617,0.8528,-14.5989,-69.096,28.8575
1.8264505863189697,0.015,0.4749,1.2408,-51.3567,-127.667,48.4881
1.8274705410003662,0.1217,0.2214,1.0256,-77.3325,-185.4378,75.5486
1.8274705410003662,0.264,0.2334,0.6258,-87.2944,-158.1883,40.0189
1.8274705410003662,0.4041,0.0349,0.4441,-98.1083,-144.3312,38.3442
1.8274705410003662,0.5299,-0.0743,0.3033,-74.8762,-129.4059,34.4981
1.8274705410003662,0.5888,-0.1468,0.1068,-51.1522,-106.0144,15.9686
1.8274705410003662,0.6062,-0.1849,-0.0349,-28.5816,-117.9758,24.804
1.8274705410003662,0.5358,-0.2865,-0.1765,-12.3362,-64.8394,-1.627
2.2352919578552246,0.559,-0.4317,-0.2626,-10.2147,-110.6845,68.0272
2.2352919578552246,0.6169,-0.3294,-0.2285,10.3465,-65.5309,42.8304
2.2352919578552246,0.6236,-0.4431,-0.3707,-15.3751,-51.7907,31.3178
2.679231882095337,0.6702,-0.3658,-0.2917,-38.2888,-25.508,16.5059
2.679231882095337,0.691,-0.3314,-0.3906,-28.2091,6.559,-3.0031
2.679231882095337,0.6891,-0.1614,-0.3893,23.1182,51.6792,-16.6898
2.679231882095337,0.723,0.2244,0.0079,20.8211,31.6194,39.7026
2.679231882095337,0.6925,0.008,0.0536,10.1033,-42.7679,94.4045
